# Team 0: Captain Cooked, Team 1: Distraction Is All You Need
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,action_keep_1,action_keep_2,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
7,Flop,0,8,-8,DISCARD,0,3,4,"['2s', 'As', '3s', '9h', '8h']","['3d', '9s', '6d', '8s', '6h']","['7h', '6s', '5h']",[],[],2,2
7,Flop,1,8,-8,DISCARD,0,1,3,"['9h', '8h']","['3d', '9s', '6d', '8s', '6h']","['7h', '6s', '5h']","['2s', 'As', '3s']",[],2,2
7,Flop,0,8,-8,RAISE,54,0,0,"['9h', '8h']","['9s', '8s']","['7h', '6s', '5h']","['2s', 'As', '3s']","['3d', '6d', '6h']",2,2
7,Flop,1,8,-8,CALL,0,0,0,"['9h', '8h']","['9s', '8s']","['7h', '6s', '5h']","['2s', 'As', '3s']","['3d', '6d', '6h']",2,2
7,Turn,0,8,-8,RAISE,22,0,0,"['9h', '8h']","['9s', '8s']","['7h', '6s', '5h', '7s']","['2s', 'As', '3s']","['3d', '6d', '6h']",56,56
7,Turn,1,8,-8,CALL,0,0,0,"['9h', '8h']","['9s', '8s']","['7h', '6s', '5h', '7s']","['2s', 'As', '3s']","['3d', '6d', '6h']",56,56
7,River,0,8,-8,RAISE,12,0,0,"['9h', '8h']","['9s', '8s']","['7h', '6s', '5h', '7s', '5d']","['2s', 'As', '3s']","['3d', '6d', '6h']",78,78
7,River,1,8,-8,CALL,0,0,0,"['9h', '8h']","['9s', '8s']","['7h', '6s', '5h', '7s', '5d']","['2s', 'As', '3s']","['3d', '6d', '6h']",78,78
8,Pre-Flop,0,8,-8,FOLD,0,0,0,"['6s', '6d', '4s', '9s', '3d']","['4d', '4h', '2d', '5d', '9d']",[],[],[],1,1
9,Pre-Flop,1,7,-7,CALL,0,0,0,"['2h', '4d', '8d', '7s', '9s']","['3d', '5d', '7d', '4h', '7h']",[],[],[],1,1
9,Pre-Flop,0,7,-7,CHECK,0,0,0,"['2h', '4d', '8d', '7s', '9s']","['3d', '5d', '7d', '4h', '7h']",[],[],[],2,2
9,Flop,0,7,-7,DISCARD,0,0,1,"['2h', '4d', '8d', '7s', '9s']","['3d', '5d', '7d', '4h', '7h']","['2s', '4s', '3h']",[],[],2,2
9,Flop,1,7,-7,DISCARD,0,0,1,"['2h', '4d']","['3d', '5d', '7d', '4h', '7h']","['2s', '4s', '3h']","['8d', '7s', '9s']",[],2,2
9,Flop,0,7,-7,CHECK,0,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
9,Flop,1,7,-7,CHECK,0,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
9,Turn,0,7,-7,CHECK,0,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h', 'Ah']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
9,Turn,1,7,-7,CHECK,0,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h', 'Ah']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
9,River,0,7,-7,CHECK,0,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h', 'Ah', '6d']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
9,River,1,7,-7,RAISE,2,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h', 'Ah', '6d']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
9,River,0,7,-7,FOLD,0,0,0,"['2h', '4d']","['3d', '5d']","['2s', '4s', '3h', 'Ah', '6d']","['8d', '7s', '9s']","['7d', '4h', '7h']",2,2
10,Pre-Flop,0,5,-5,RAISE,3,0,0,"['9s', '5s', '3d', '8d', '2h']","['7d', '5h', '7s', '5d', 'As']",[],[],[],1,1
10,Pre-Flop,1,5,-5,CALL,0,0,0,"['9s', '5s', '3d', '8d', '2h']","['7d', '5h', '7s', '5d', 'As']",[],[],[],2,2
10,Flop,1,5,-5,DISCARD,0,3,4,"['9s', '5s', '3d', '8d', '2h']","['7d', '5h', '7s', '5d', 'As']","['4d', 'Ad', '3h']",[],[],5,5
10,Flop,0,5,-5,DISCARD,0,1,4,"['9s', '5s', '3d', '8d', '2h']","['5d', 'As']","['4d', 'Ad', '3h']",[],"['7d', '5h', '7s']",5,5
10,Flop,1,5,-5,CHECK,0,0,0,"['5s', '2h']","['5d', 'As']","['4d', 'Ad', '3h']","['9s', '3d', '8d']","['7d', '5h', '7s']",5,5
10,Flop,0,5,-5,RAISE,11,0,0,"['5s', '2h']","['5d', 'As']","['4d', 'Ad', '3h']","['9s', '3d', '8d']","['7d', '5h', '7s']",5,5
10,Flop,1,5,-5,FOLD,0,0,0,"['5s', '2h']","['5d', 'As']","['4d', 'Ad', '3h']","['9s', '3d', '8d']","['7d', '5h', '7s']",5,5
11,Pre-Flop,1,10,-10,CALL,0,0,0,"['9d', '9s', '6s', '4s', '6d']","['As', '4d', '6h', '4h', '8h']",[],[],[],1,1
